cin,cout,title,deweyClass
"2011-10-18 16:33:00","2011-09-20 18:13:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-11-19 17:39:00","2011-10-27 17:58:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-12-13 13:09:00","2011-10-13 14:56:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2012-02-11 10:30:00","2012-01-11 16:06:00","IT essentials II Network operating system companion guide",004.6
"2012-02-14 18:29:00","2011-12-19 16:59:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2012-03-06 13:04:00","2012-02-15 12:47:00","IT essentials II Network operating system companion guide",004.6
"2012-03-12 15:22:00","2011-12-27 17:16:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2012-03-13 16:00:00","2012-03-07 11:18:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2012-03-19 15:27:00","2012-02-16 14:01:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2012-03-27 19:46:00","2012-03-13 15:41:00","IT essentials II Network operating system companion guide",004.6
"2012-06-23 15:25:00","2012-05-29 11:23:00","Networked the new social operating system",006.754
"2012-07-09 16:08:00","2012-06-27 16:41:00","Networked the new social operating system",006.754
"2012-07-26 16:45:00","2012-07-17 15:26:00","Networked the new social operating system",006.754
"2012-08-14 19:40:00","2012-06-17 14:10:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2012-08-26 14:47:00","2012-08-07 19:57:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2012-09-24 16:58:00","2012-08-15 18:11:00","Networked the new social operating system",006.754
"2012-10-18 17:15:00","2012-10-04 19:31:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2012-10-23 17:28:00","2012-09-25 18:38:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2012-11-19 14:40:00","2012-11-12 15:47:00","Networked the new social operating system",006.754
"2012-12-03 14:29:00","2012-11-12 13:27:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2012-12-13 13:55:00","2012-12-06 13:49:00","Networked the new social operating system",006.754
"2013-02-23 12:36:00","2013-02-04 15:39:00","UNIX for people a modular guide to the UNIX operating system visual editing document preparation other resources",001.642
"2013-02-26 17:24:00","2012-12-29 15:47:00","Networked the new social operating system",006.754
"2013-03-04 18:23:00","2013-03-04 15:48:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2013-04-05 10:37:00","2013-03-21 16:03:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2013-05-17 12:02:00","2013-04-26 14:51:00","Networked the new social operating system",006.754
"2013-06-21 17:56:00","2013-06-08 13:18:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2013-06-26 10:04:00","2013-06-01 11:20:00","Networked the new social operating system",006.754
"2013-08-02 15:02:00","2013-07-30 19:07:00","Networked the new social operating system",006.754
"2013-08-04 13:59:00","2013-07-13 16:38:00","Networked the new social operating system",006.754
"2013-08-05 19:18:00","2013-08-05 19:15:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2013-08-14 19:13:00","2013-08-08 19:16:00","Starting FORTH an introduction to the FORTH language and operating system for beginners and professionals",001.6424
"2013-08-26 11:50:00","2013-08-06 10:36:00","Networked the new social operating system",006.754
"2013-08-29 17:26:00","2013-08-26 15:51:00","Networked the new social operating system",006.754
