Elements,Times,Dates,Deweys,Titles
"Irrigation water High Plains U S History",19:01:00,2006-10-26,553,"Ogallala blue water and life on the High Plains"
"California Gold discoveries Juvenile films",13:47:00,2006-10-27,398,"Darlin Clementine"
"Cocoanut Grove Boston Mass Fire 1942",16:31:00,2006-10-27,974,"Fire in the Grove the Cocoanut Grove tragedy and its aftermath"
"California Gold discoveries Juvenile literature",17:13:00,2006-10-27,979,"California Gold Rush a guide to California in the 1850s"
"California Gold discoveries",17:13:00,2006-10-27,979,"California Gold Rush a guide to California in the 1850s"
"California Gold discoveries Sources Juvenile literature",17:13:00,2006-10-27,979,"gold rush a primary source history of the search for gold in California"
"California Gold discoveries Sources",17:13:00,2006-10-27,979,"gold rush a primary source history of the search for gold in California"
"Irrigation water High Plains U S History",17:32:00,2006-10-27,553,"Ogallala blue water and life on the High Plains"
"Drinking water Health aspects",10:01:00,2006-10-28,615,"Water the ultimate cure"
"California Gold discoveries Fiction",13:16:00,2006-10-28,863,"Hija de la fortuna"
"Klondike Gold Rush National Historical Park Alaska and Wash",13:52:00,2006-10-28,917,"great parks of Alaska"
"Klondike Gold Rush National Historical Park Alaska and Wash",14:07:00,2006-10-28,917,"great parks of Alaska"
"Klondike Gold Rush National Historical Park Alaska and Wash",14:10:00,2006-10-28,917,"great parks of Alaska"
"Great Fire London England 1666",14:21:00,2006-10-28,942,"Great Fire of London in that apocalyptic year 1666"
"California Gold discoveries Juvenile films",17:41:00,2006-10-28,398,"Darlin Clementine"
"Indian wood carving Washington State Juvenile literature",13:10:00,2006-10-29,979,"People of salmon and cedar"
"Klondike Gold Rush National Historical Park Alaska and Wash",15:22:00,2006-10-29,917,"great parks of Alaska"
"Camp Fire Girls Handbooks manuals etc",16:42:00,2006-10-29,796,"Handbook for guardians of the Camp Fire Girls"
"Camp Fire Girls",16:42:00,2006-10-29,796,"Book of the junior hi Camp Fire Girls"
"Camp Fire Girls",16:42:00,2006-10-29,796,"Wo He Lo the story of Camp Fire Girls 1910 1960"
"Landscape gardening Water conservation",14:51:00,2006-10-30,635,"Drip irrigation for every landscape and all climates helping your garden flourish while conserving water"
"San Francisco Earthquake and Fire Calif 1906",14:57:00,2006-10-30,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Oil wells Fires and fire prevention Kuwait",18:03:00,2006-10-30,622,"Lessons of darkness Fata morgana"
"Irrigation water High Plains U S History",16:34:00,2006-10-31,553,"Ogallala blue water and life on the High Plains"
"Great Fire Seattle Wash 1889",17:37:00,2006-10-31,979,"great Seattle fire of June 6th 1889 containing a succinct and complete account of the greatest conflagration on the Pacific Coast"
"Kwakiutl wood carving Juvenile literature",12:26:00,2006-11-01,730,"Native American look book art and activities from the Brooklyn Museum"
"New York N Y Fire Dept",12:41:00,2006-11-01,974,"7 days in September"
"New York N Y Fire Dept",13:20:00,2006-11-01,363,Firehouse
"New York N Y Fire Department",13:20:00,2006-11-01,363,Firehouse
"Oil wells Fires and fire prevention Kuwait",17:03:00,2006-11-01,622,"Lessons of darkness Fata morgana"
"Fresh water Periodicals",17:31:00,2006-11-01,333,"worlds water the biennial report on freshwater resources"
"Landscape gardening Water conservation Northwest Pacific",18:17:00,2006-11-01,635,"Beautiful and waterwise gardening for the Pacific Northwest"
"Indian wood carving Alaska History",19:32:00,2006-11-01,979,"Alaskas totem poles"
"California Northern Gold discoveries",08:36:00,2006-11-03,979,"Womens voices from the Mother Lode tales from the California gold rush"
"Oil wells Fires and fire prevention Kuwait",10:28:00,2006-11-03,622,"Lessons of darkness Fata morgana"
"Rain water Water supply Developing countries",10:59:00,2006-11-03,628,"Rainwater catchment systems for domestic supply design construction and implementation"
"Friendly fire Military science English Channel",12:44:00,2006-11-03,363,"Glenn Millers last flight"
"New York N Y Fire Dept",15:07:00,2006-11-03,628,"FDNY dream bike in honor of Gerard Baptiste"
"Rain water Water supply Developing countries",15:49:00,2006-11-03,628,"Rainwater catchment systems for domestic supply design construction and implementation"
"Klondike River Valley Yukon Gold discoveries",16:01:00,2006-11-03,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"Klondike Gold Rush National Historical Park Alaska and Wash History",16:01:00,2006-11-03,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"California Gold discoveries",16:14:00,2006-11-03,973,"10 days that unexpectedly changed America"
"California Gold discoveries",17:25:00,2006-11-03,973,"10 days that unexpectedly changed America"
"Lady in the water Motion picture",11:34:00,2006-11-04,791,"man who heard voices or how M Night Shyamalan risked his career on a fairy tale"
"Irrigation water High Plains U S History",13:34:00,2006-11-04,553,"Ogallala blue water and life on the High Plains"
"Klondike Gold Rush National Historical Park Alaska and Wash",16:04:00,2006-11-04,917,"great parks of Alaska"
"San Francisco Earthquake and Fire Calif 1906",16:18:00,2006-11-04,363,"San Francisco is burning the untold story of the 1906 earthquake and fires"
"Great Fire London England 1666",17:10:00,2006-11-04,942,"Great Fire of London in that apocalyptic year 1666"
"California Gold discoveries",17:12:00,2006-11-04,973,"10 days that unexpectedly changed America"
"California Gold discoveries Juvenile films",17:58:00,2006-11-04,398,"Darlin Clementine"
"Forest fire fighters Biography",13:21:00,2006-11-05,363,"Ghosts of the fireground echoes of the Great Peshtigo Fire and the calling of a wildland firefighter"
"California Gold discoveries",13:45:00,2006-11-05,973,"10 days that unexpectedly changed America"
"San Francisco Earthquake and Fire Calif 1906",16:47:00,2006-11-05,979,"crack in the edge of the world America and the great California earthquake of 1906"
"New York N Y Fire Dept",16:54:00,2006-11-05,974,"7 days in September"
"Indian wood carving Washington State Juvenile literature",08:19:00,2006-11-06,979,"People of salmon and cedar"
"San Francisco Earthquake and Fire Calif 1906",09:14:00,2006-11-06,979,"crack in the edge of the world America and the great California earthquake of 1906"
"San Francisco Earthquake and Fire Calif 1906",16:54:00,2006-11-06,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Oil wells Fires and fire prevention Kuwait",17:50:00,2006-11-06,622,"Lessons of darkness Fata morgana"
"Klondike River Valley Yukon Gold discoveries",18:26:00,2006-11-06,971,"Gold fever"
"San Francisco Earthquake and Fire Calif 1906",19:55:00,2006-11-06,979,"Disaster the great San Francisco earthquake and fire of 1906"
"Fresh water Juvenile literature",14:46:00,2006-11-07,574,"Rivers ponds and lakes"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",17:02:00,2006-11-07,338,"gold rush"
"Klondike River Valley Yukon Gold discoveries",17:02:00,2006-11-07,338,"gold rush"
"California Gold discoveries Juvenile literature",17:02:00,2006-11-07,338,"gold rush"
"California Gold discoveries",17:02:00,2006-11-07,338,"gold rush"
"North America Gold discoveries Juvenile literature",17:02:00,2006-11-07,338,"gold rush"
"Indian wood carving Northwest Coast of North America Juvenile literature",17:09:00,2006-11-07,745,"bentwood box an activity book for kids from ages 9 12 including adult teaching guides"
"Lady in the water Motion picture",19:34:00,2006-11-07,791,"man who heard voices or how M Night Shyamalan risked his career on a fairy tale"
"San Francisco Earthquake and Fire Calif 1906",10:45:00,2006-11-08,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Fresh water Juvenile literature",14:14:00,2006-11-08,574,"Rivers ponds and lakes"
"Fresh water Juvenile literature",14:27:00,2006-11-08,574,"Rivers ponds and lakes"
"National Fire Protection Association National Electrical Code 1996",17:23:00,2006-11-08,621,"Stallcups generator transformer and motor book based on the 1996 NEC codes and standards residential commercial and industrial"
"San Francisco Earthquake and Fire Calif 1906",17:25:00,2006-11-08,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Columbia River Water rights",10:21:00,2006-11-09,979,"Death of Celilo Falls"
"Irrigation water High Plains U S History",16:40:00,2006-11-09,553,"Ogallala blue water and life on the High Plains"
"San Francisco Earthquake and Fire Calif 1906",18:11:00,2006-11-09,979,"crack in the edge of the world America and the great California earthquake of 1906"
"California Gold discoveries",19:50:00,2006-11-09,641,"California Gold Rush cooking"
"California Gold discoveries History Juvenile literature",19:50:00,2006-11-09,641,"California Gold Rush cooking"
"California Gold discoveries Juvenile literature",19:50:00,2006-11-09,641,"California Gold Rush cooking"
"California Gold discoveries Juvenile films",10:46:00,2006-11-10,398,"Darlin Clementine"
"Drinking water Health aspects",11:01:00,2006-11-10,615,"Water the ultimate cure"
"Klondike Gold Rush National Historical Park Alaska and Wash",14:11:00,2006-11-10,917,"great parks of Alaska"
"Drinking water Law and legislation Washington State",16:37:00,2006-11-10,360,"Municipal water law interim planning guidance for water system plan small water system management program approvals"
"Krutch Joseph Wood 1893 1970",16:46:00,2006-11-10,972,"forgotten peninsula a naturalist in Baja California"
"Irrigation water High Plains U S History",13:42:00,2006-11-12,553,"Ogallala blue water and life on the High Plains"
"New York N Y Fire Dept",14:21:00,2006-11-12,974,"7 days in September"
"Great Fire Seattle Wash 1889",14:32:00,2006-11-12,979,"great Seattle fire of June 6th 1889 containing a succinct and complete account of the greatest conflagration on the Pacific Coast"
"Great Fire Seattle Wash 1889",14:32:00,2006-11-12,979,"day Seattle burned June 6 1989 i e 1889"
"Klondike River Valley Yukon Gold discoveries",14:35:00,2006-11-12,979,"Trail to the Klondike"
"Klondike River Valley Yukon Gold discoveries",14:35:00,2006-11-12,979,"Trail to the Klondike"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",14:45:00,2006-11-12,971,"Yukon gold the story of the Klondike Gold Rush"
"Klondike River Valley Yukon Gold discoveries",14:45:00,2006-11-12,971,"Yukon gold the story of the Klondike Gold Rush"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",14:45:00,2006-11-12,971,"Children of the gold rush"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",14:46:00,2006-11-12,917,"When a ton of gold reached Seattle"
"Klondike River Valley Yukon Gold discoveries",14:46:00,2006-11-12,917,"When a ton of gold reached Seattle"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",14:46:00,2006-11-12,971,"Klondike gold rush"
"Klondike River Valley Yukon Gold discoveries",14:46:00,2006-11-12,971,"Klondike gold rush"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",14:46:00,2006-11-12,971,"Gold rush fever a story of the Klondike 1898"
"Klondike River Valley Yukon Gold discoveries Juvenile fiction",14:46:00,2006-11-12,971,"Gold rush fever a story of the Klondike 1898"
"Klondike Gold Rush National Historical Park Alaska and Wash",14:59:00,2006-11-12,917,"great parks of Alaska"
"Office buildings Fires and fire prevention",14:36:00,2006-11-13,363,"Fire in the workplace"
"Inland water transportation United States Congresses",19:41:00,2006-11-13,386,"National Waterways Roundtable proceedings history regional development technology a look ahead"
"New York N Y Fire Dept",12:32:00,2006-11-14,974,"7 days in September"
"California Gold discoveries Juvenile literature",14:00:00,2006-11-14,979,"Lost in Death Valley the true story of four families in Californias gold rush"
"California Gold discoveries",14:00:00,2006-11-14,979,"Lost in Death Valley the true story of four families in Californias gold rush"
"California Gold discoveries Social aspects",14:13:00,2006-11-14,979,"Roaring camp the social world of the California Gold Rush"
"Sierra Nevada Calif and Nev Gold discoveries Social aspects",14:13:00,2006-11-14,979,"Roaring camp the social world of the California Gold Rush"
"National Fire Protection Association National Electrical Code 1999",15:04:00,2006-11-14,621,"Illustrated guide to the 1999 National electrical code"
"San Francisco Earthquake and Fire Calif 1906",17:38:00,2006-11-14,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Oil wells Fires and fire prevention Kuwait",17:52:00,2006-11-14,622,"Lessons of darkness Fata morgana"
"Hartford Circus Fire Hartford Conn 1944",10:45:00,2006-11-15,974,"circus fire"
"Landscape gardening Water conservation Northwest Pacific",13:02:00,2006-11-15,635,"Beautiful and waterwise gardening for the Pacific Northwest"
"California Gold discoveries",13:08:00,2006-11-15,973,"10 days that unexpectedly changed America"
"San Francisco Earthquake and Fire Calif 1906",13:09:00,2006-11-15,979,"crack in the edge of the world America and the great California earthquake of 1906"
