Elements,Times,Dates,Deweys,Titles
"San Francisco Earthquake and Fire Calif 1906",17:53:00,2006-02-16,363,"San Francisco is burning the untold story of the 1906 earthquake and fires"
"Hopi wood carving",09:14:00,2006-02-17,745,"Kachina dolls the art of Hopi carvers"
"Hopi wood carving",10:10:00,2006-02-17,745,"Kachina dolls the art of Hopi carvers"
"Klondike Gold Rush National Historical Park Alaska and Wash",13:16:00,2006-02-17,917,"great parks of Alaska"
"California Gold discoveries Juvenile films",13:41:00,2006-02-17,398,"Darlin Clementine"
"Gays New York State Fire Island History",14:43:00,2006-02-17,305,"Cherry Grove Fire Island sixty years in Americas first gay and lesbian town"
"Indian wood carving Washington State Juvenile literature",15:13:00,2006-02-17,979,"People of salmon and cedar"
"Maclean John N Fire on the mountain",17:29:00,2006-02-17,363,"Fire on the mountain"
"Drinking water Contamination Massachusetts Woburn",17:37:00,2006-02-17,346,"civil action"
"Liability for water pollution damages Massachusetts Woburn",17:37:00,2006-02-17,346,"civil action"
"Black Hills S D and Wyo Gold discoveries",10:33:00,2006-02-18,978,"real Deadwood true life histories of Wild Bill Hickock Calamity Jane outlaw towns and other characters of the lawless west"
"Vegetable gardening Water conservation Northwest Coast of North America",11:03:00,2006-02-18,635,"Water wise vegetables for the maritime Northwest gardener"
"San Francisco Earthquake and Fire Calif 1906",14:34:00,2006-02-18,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Indian wood carving Northwest Pacific",14:36:00,2006-02-18,730,"Carving totem poles masks"
"Indian wood carving Northwest Pacific",14:37:00,2006-02-18,731,"Lelooska the traditional art of the mask carving a transformation mask"
"San Francisco Earthquake and Fire Calif 1906",15:02:00,2006-02-18,363,"San Francisco is burning the untold story of the 1906 earthquake and fires"
